Keyword,Class
boojie,archaic
surrender monkey,archaic
chinaman,archaic
hillbilly,archaic
whigger,archaic
white nigger,archaic
wigger,archaic
wigerette,archaic
bitter clinger,class
conspiracy theorist,class
redneck,class
rube,class
trailer park trash,class
trailer trash,class
white trash,class
yobbo,class
retard,disability
retarded,disability
nigger,ethn
white trash,ethn
trailer trash,ethn
coonass,ethn
trailer park trash,ethn
raghead,ethn
house nigger,ethn
white nigger,ethn
camel fucker,ethn
moon cricket,ethn
wetback,ethn
spic,ethn
bint,gender
cunt,gender
dyke,gender
twat,gender
bamboo coon,nation
camel fucker,nation
chinaman,nation
limey,nation
plastic paddy,nation
sideways pussy,nation
surrender monkey,nation
whigger,nation
white nigger,nation
wigger,nation
zionazi,nation
camel fucker,rel
muzzie,rel
soup taker,rel
zionazi,rel
dyke,sexorient
faggot,sexorient
